DEK1.bam,DEK2.bam,DEK3.bam,DEK4.bam,DEK5.bam,DEK6.bam,DEK7.bam,DEK8.bam
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25084519937560895,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5347130579095258,0.46169930437557666,1.2058991057158235,2.184494344024942,0.9080518264836115,2.187830280864383,1.1099713009671424,0.4035959336266633
0.0,0.0,0.5342020337470096,0.0,0.0,0.0,0.0,0.0
6.773375168559458,6.154730078152142,7.6084844870381145,4.823987294969069,8.373520180733335,7.937224422145969,6.873948252540864,5.798054950806375
0.0,0.0,0.0,0.0,0.27804687710157094,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.261208243164726,0.0,0.0
0.0,2.6342510310762064,0.0,0.0,0.0,0.5401206005883945,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1321458274244938,1.2273377041981528,3.540783899116956,4.355289656525714,4.224288207785109,3.221887950894369,2.0922738319239924,3.7550842218583553
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.41331673471544,11.518182646001227,13.537804171009743,20.05806539129919,18.877919550580344,18.572568020232513,11.230183320486859,13.23841866498219
15.892417315647478,12.955873375766926,12.476543431886842,13.77488646400896,20.03475518464519,18.365272048206258,11.05607259789262,13.313850673812325
3.106930341948905,2.5218541092674718,2.6010973161457507,1.9861228693139847,3.998272505350797,2.0806113159394903,1.3734074133174645,1.7770863706533129
10.243864381436827,8.88781978619901,11.115858157701949,10.462463685520113,11.429368350210778,10.326579430181113,6.964887865792184,10.383990035507004
5.838783811427935,5.845231577831821,3.8930829302316123,3.240967795559841,6.179190814432749,5.972487410352439,5.058907660177168,2.682554703071452
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.320072861714142,2.0263469469816973,0.0,1.3482426029528938,0.0,0.0,0.3653655532350177,0.8856688543474001
74.41552042461923,69.07062368533062,55.577243685899184,49.185209088702706,66.58249920293852,62.85506717445108,60.18106796016466,62.4360441682267
0.3433405438216138,0.049409706103590564,0.4645864341175564,0.0,0.19435408911461746,0.08780069367462387,0.17817881219805792,0.08638330738690438
18.112761871705192,17.822461232416636,11.2782148871588,12.698358402975659,15.957909038548076,11.513283462476709,12.91160647680548,9.305912798411903
4.508197800554675,5.369123412022162,2.594339857218365,2.619745195139087,3.431927965402364,2.6237458026619755,1.871646896846705,2.6596140277753135
0.4070794660512679,0.4820485929801852,0.5320980157932871,0.5769818771159251,0.4683937013247373,0.3994052984275086,0.5822057820330182,0.5284025722721277
0.0,0.0,0.5014001544818423,0.0,0.0,0.0,0.0,0.0
9.95684279282774,8.408078618181317,7.510599824396062,10.293636470677695,10.252738234478398,7.370940422967487,6.407794211645953,8.305442368568979
0.9047951073260376,0.40063977422748853,0.6278516872905319,0.4975939307910504,0.787962371399443,1.7086416187330584,0.5779068504596062,1.4709263046718681
1.7176851694593653,1.1718632946400178,1.7216752292448805,0.8446821126933793,2.016677349580069,1.7570188211911628,2.535548899558677,2.2408489085898076
0.0,0.39474291174968135,0.0,0.0,0.0,0.0,0.0,1.0351973622242339
2.2885542960914607,1.9043197599298747,2.45285156390774,2.2911060110256587,2.488342564133856,2.271426928522214,3.029121365398602,2.052329486543825
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04511141774332822,0.15580625820448762,0.8545863376260364,0.09214814885624222,0.25536129251105405,0.11536108513207914,0.7304189616146446,0.22699757052902178
32.309304210570836,30.705647330307613,54.79786925096124,41.711646732024526,33.081640512344755,26.830503371846895,52.06713566435516,47.515270570281125
0.06948163720005679,0.03459118728769657,0.12196942884200584,0.04794888043220534,0.04889841054829951,0.08067713315646696,0.09199649517766316,0.049136746349900215
0.06888334979230194,0.0,0.0,0.046902192304492614,0.10398042367329367,0.0,0.038130627385014174,0.18486203076681493
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5647370531397399,0.0,0.2547220036137702,2.3071531173525455,1.2787182583280803,0.8665036373075848,0.0,0.568343649848599
0.9053221511970112,0.88592965534562,1.4904458085433248,2.5658796215648727,1.2555610159730175,2.338284640352672,0.9960243971601853,1.5033213301396076
3.6563465414914478,1.8771835410279607,3.342928353727193,3.734371277049812,5.59389381567415,6.873649564568464,1.559014587727711,2.585733149311187
0.3255176868041598,0.17034487691794578,0.16017079472519158,0.15112003769320687,0.2680220223882133,0.030270162558662127,0.565146045355118,0.11912601814498934
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.6637502045306555,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.483831077899368,1.5800239439977248,0.8094914190151703,3.3964392130369467,3.16728840177181,3.239643722289604,2.498267628251437,2.709243613098678
5.660120798617257,5.356277543223177,2.973790377512262,3.989459814611672,4.999668893068337,2.1377476260134354,2.644266482341702,2.8043166489152793
9.986814679088024,6.356352288840589,6.298984001204488,6.882878690625741,9.284143418135232,8.96971166533264,5.1237322073347435,8.906623742847763
140.61000819157377,101.17504770393165,127.84647618736808,170.4239245305624,196.4682357721915,180.92522927012936,127.83689132290395,148.67295150505797
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
